time,thor,strageness,stage,apnea
2022-08-06 22:15:37.000000,0.0832379644464789,0.561949922354268,WK,apnea
2022-08-06 22:15:37.031250,-0.1557183184557869,0.2350867589642298,WK,no apnea
2022-08-06 22:15:37.062500,-0.1503776607919432,0.272571425286646,WK,no apnea
2022-08-06 22:15:37.093750,-0.1421377889677271,0.5701265142123441,WK,no apnea
2022-08-06 22:15:37.125000,-0.1345082780193789,0.8139698048274665,WK,no apnea
2022-08-06 22:15:37.156250,-0.1296253910124361,0.2445355243849564,WK,apnea
2022-08-06 22:15:37.187500,-0.1270313572899977,0.1619973108962532,WK,apnea
2022-08-06 22:15:37.218750,-0.1236743724727245,0.923932912220219,WK,apnea
2022-08-06 22:15:37.250000,-0.1187914854657816,0.3518816530165671,WK,apnea
2022-08-06 22:15:37.281250,-0.1154345006485084,0.7227267217025796,WK,apnea
2022-08-06 22:15:37.312500,-0.1117723353933013,0.2153774214066933,WK,apnea
2022-08-06 22:15:37.343750,-0.1052109559777218,0.22779623374896,WK,apnea
2022-08-06 22:15:37.375000,-0.1012436102845807,0.2959382677618462,WK,no apnea
2022-08-06 22:15:37.406250,-0.1006332494087129,0.96014840300602,WK,apnea
2022-08-06 22:15:37.437500,-0.0991073472190432,0.522558610258018,WK,apnea
2022-08-06 22:15:37.468750,-0.0984969863431754,0.1996714045170254,WK,apnea
2022-08-06 22:15:37.500000,-0.0968184939345388,0.6358969495878395,WK,apnea
2022-08-06 22:15:37.531250,-0.0876630807965209,0.9254684905963958,WK,no apnea
2022-08-06 22:15:37.562500,-0.0791180285343709,0.5948876959565558,WK,no apnea
2022-08-06 22:15:37.593750,-0.0791180285343709,0.967615857771651,WK,apnea
2022-08-06 22:15:37.625000,-0.0775921263447013,0.0236887790460726,WK,apnea
2022-08-06 22:15:37.656250,-0.0717936980239566,0.2104853397473501,WK,apnea
2022-08-06 22:15:37.687500,-0.0699626153963531,0.9172249838424308,WK,no apnea
2022-08-06 22:15:37.718750,-0.0691996643015182,0.4344727218957247,WK,no apnea
2022-08-06 22:15:37.750000,-0.0644693675135423,0.4461799703289308,WK,no apnea
2022-08-06 22:15:37.781250,-0.0600442511635004,0.5405696951973039,WK,apnea
2022-08-06 22:15:37.812500,-0.057450217441062,0.5004835488931988,WK,no apnea
2022-08-06 22:15:37.843750,-0.0550087739375906,0.9879042577768082,WK,apnea
2022-08-06 22:15:37.875000,-0.053177691309987,0.4244068497860114,WK,no apnea
2022-08-06 22:15:37.906250,-0.0493629358358129,0.9061796474317352,WK,no apnea
2022-08-06 22:15:37.937500,-0.0420386053253986,0.5356186399241516,WK,apnea
2022-08-06 22:15:37.968750,-0.036240177004654,0.3541697176134948,WK,apnea
2022-08-06 22:15:38.000000,0.0832379644464789,0.2860735002294701,WK,no apnea
